Provinsi,Tahun,Produktivitas
Sulawesi Tenggara,1980,16.53
Gorontalo,1980,0
Sulawesi Barat,1980,0
Maluku,1980,9.87
Maluku Utara,1980,0
Papua Barat,1980,0
Papua,1980,17.03
Aceh,1981,32.44
Sumatera Utara,1981,30.19
Sumatera Barat,1981,36.71
Riau,1981,19.91
Jambi,1981,26.46
Sumatera Selatan,1981,25.84
Bengkulu,1981,24.51
Lampung,1981,26.99
Kepulauan Bangka Belitung,1981,0
Kepulauan Riau,1981,0
Daerah Khusus Ibukota Jakarta,1981,31.77
Jawa Barat,1981,37.48
Jawa Tengah,1981,40.7
Daerah Istimewa Yogyakarta,1981,36.22
Jawa Timur,1981,45.33
Banten,1981,0
Bali,1981,43.26
Nusa Tenggara Barat,1981,34.58
Nusa Tenggara Timur,1981,17.86
Kalimantan Barat,1981,19.69
Kalimantan Tengah,1981,18.21
Kalimantan Selatan,1981,24.52
Kalimantan Timur,1981,18.45
Kalimantan Utara,1981,0
Sulawesi Utara,1981,29.45
Sulawesi Tengah,1981,20.94
Sulawesi Selatan,1981,33.74
Sulawesi Tenggara,1981,17.54
Gorontalo,1981,0
Sulawesi Barat,1981,0
Maluku,1981,10.58
Maluku Utara,1981,0
Papua Barat,1981,0
Papua,1981,17.96
Aceh,1982,33.93
Sumatera Utara,1982,32.41
Sumatera Barat,1982,37.73
Riau,1982,23.2
Jambi,1982,27.69
Sumatera Selatan,1982,26.76
Bengkulu,1982,28.07
Lampung,1982,29.19
Kepulauan Bangka Belitung,1982,0
Kepulauan Riau,1982,0
Daerah Khusus Ibukota Jakarta,1982,34.9
Jawa Barat,1982,41.34
Jawa Tengah,1982,43.7
Daerah Istimewa Yogyakarta,1982,38.65
Jawa Timur,1982,47.84
Banten,1982,0
Bali,1982,43.28
Nusa Tenggara Barat,1982,36.08
Nusa Tenggara Timur,1982,20.8
Kalimantan Barat,1982,21.11
Kalimantan Tengah,1982,19
Kalimantan Selatan,1982,24.38
Kalimantan Timur,1982,20.12
Kalimantan Utara,1982,0
Sulawesi Utara,1982,33.5
Sulawesi Tengah,1982,24
Sulawesi Selatan,1982,36.41
Sulawesi Tenggara,1982,19.44
Gorontalo,1982,0
Sulawesi Barat,1982,0
Maluku,1982,9.86
Maluku Utara,1982,0
Papua Barat,1982,0
Papua,1982,20.05
Aceh,1983,34.99
Sumatera Utara,1983,33.21
Sumatera Barat,1983,39.8
Riau,1983,23.75
Jambi,1983,27.3
Sumatera Selatan,1983,26.92
Bengkulu,1983,29.43
Lampung,1983,29.59
Kepulauan Bangka Belitung,1983,0
Kepulauan Riau,1983,0
Daerah Khusus Ibukota Jakarta,1983,34.36
Jawa Barat,1983,42.41
Jawa Tengah,1983,46.35
Daerah Istimewa Yogyakarta,1983,42.18
Jawa Timur,1983,48.15
Banten,1983,0
Bali,1983,43.86
Nusa Tenggara Barat,1983,37.63
Nusa Tenggara Timur,1983,22.65
Kalimantan Barat,1983,22.37
Kalimantan Tengah,1983,18.42
Kalimantan Selatan,1983,24.65
Kalimantan Timur,1983,21.11
Kalimantan Utara,1983,0
Sulawesi Utara,1983,36.29
Sulawesi Tengah,1983,25.04
Sulawesi Selatan,1983,38.24
Sulawesi Tenggara,1983,22.73
Gorontalo,1983,0
Sulawesi Barat,1983,0
Maluku,1983,12.79
Maluku Utara,1983,0
Papua Barat,1983,0
Papua,1983,21.23
Aceh,1984,33.88
Sumatera Utara,1984,34.68
Sumatera Barat,1984,40.19
Riau,1984,23.18
Jambi,1984,27.47
Sumatera Selatan,1984,27.91
Bengkulu,1984,29.33
Lampung,1984,29.93
Kepulauan Bangka Belitung,1984,0
Kepulauan Riau,1984,0
Daerah Khusus Ibukota Jakarta,1984,35.66
Jawa Barat,1984,42.37
Jawa Tengah,1984,46.86
Daerah Istimewa Yogyakarta,1984,42.21
Jawa Timur,1984,48.54
Banten,1984,0
Bali,1984,45.03
Nusa Tenggara Barat,1984,37.91
Nusa Tenggara Timur,1984,22.19
Kalimantan Barat,1984,21.31
Kalimantan Tengah,1984,18.01
Kalimantan Selatan,1984,25.63
Kalimantan Timur,1984,19.03
Kalimantan Utara,1984,0
Sulawesi Utara,1984,37.2
Sulawesi Tengah,1984,24.87
Sulawesi Selatan,1984,39.2
Sulawesi Tenggara,1984,23.16
Gorontalo,1984,0
